LUXXR Index	Luxembourg Stock Exchange LuxX
DKL Index	Bloomberg Denmark Large & Mid
KFX Index	OMX Copenhagen 20
KAX Index	OMX Copenhagen_PI
OMXC25 Index	OMX Copenhagen 25 Index
FIL Index	Bloomberg Finland Large & Mid
HEX Index	OMX Helsinki_PI
HEX25 Index	OMX Helsinki 25 Index
HEXP Index	OMX Helsinki Cap Index
NOL Index	Bloomberg Norway Large & Mid C
OBX Index	OBX Total Return Index
OBXP Index	Oslo Stock Exchange OBX Price
OSEAX Index	Oslo Stock Exchange All Share
OSEBX Index	Oslo Boers Benchmark Index GR
OSEFX Index	Oslo Boers Mutual Fund Index G
OSESX Index	Oslo Boers Small Cap Index_GI
OMXO20GI Index	OMX Oslo 20 GI Index
OMXO20 Index	OMX Oslo 20 Index
SEL Index	Bloomberg Sweden Large & Mid C
OMX Index	OMX Stockholm 30 Index
SBX Index	OMX Stockholm Benchmark_GI
SAX Index	OMX Stockholm Index
SE30 Index	Dow Jones Sweden Titans 30 Ind
ATL Index	Bloomberg Austria Large & Mid
ATX Index	Vienna Stock Exchange Austrian
WBI Index	Vienna Stock Exchange Share In
ATXPRIME Index	Austrian ATX Prime Index
GRL Index	Bloomberg Greece Large & Mid C
ASE Index	Athens Stock Exchange General
FTASE Index	FTSE/Athens Stock Exchange Lar
FTSEM Index	FTSE/Athens Stock Exchange Mid
PLL Index	Bloomberg Poland Large & Mid C
WIG Index	Warsaw Stock Exchange WIG Tota
WIG20 Index	WIG20
SWIG80 Index	Warsaw Stock Exchange sWIG80 I
MIDWIG Index	Warsaw Stock Exchange mWIG40 I
CZL Index	Bloomberg Czech Republic Large
PX Index	Prague Stock Exchange Index
HULSP Index	Bloomberg Hungary Large, Mid &
BUX Index	Budapest Stock Exchange Budape
CHTX Index	OTOB Hungarian Traded Index CH
BET Index	Bucharest Stock Exchange Tradi
PFTS Index	Ukraine PFTS Index
KZKAK Index	Kazakhstan Stock Exchange Inde
SKSM Index	Slovak Share Index
CRO Index	Croatia Zagreb Stock Exchange
SBITOP Index	Ljubljana Stock Exchange Slove
BIRS Index	Stock Exchange Index of Republ
SASX10 Index	SASE Free Market 10 Index
BELEXLIN Index	Belgrade Stock Exchange BELEXl
BELEX15 Index	Belgrade Stock Exchange BELEX1
TALSE Index	OMX Tallinn TR Index
MBI Index	MBI 10 INDEX
RIGSE Index	OMX Riga Index
VILSE Index	OMX Vilnius Index
SOFIX Index	SOFIX Index
TRL Index	Bloomberg Turkey Large & Mid C
XU100 Index	Borsa Istanbul 100 Index
XU030 Index	BIST 30 Index
TR20I Index	Dow Jones Turkey Titans 20 Ind
CYSMMAPA Index	Cyprus Stock Exchange General
MALTEX Index	Malta Stock Exchange
ZAL Index	Bloomberg South Africa Large &
TOP40 Index	FTSE/JSE Africa Top40 Tradeabl
JALSH Index	FTSE/JSE Africa All Share Inde
INDI25 Index	FTSE/JSE Africa Industrial 25
EGLSP Index	Bloomberg Egypt Large, Mid & S
HERMES Index	Egyptian Financial Group Herme
EGX30 Index	Egyptian Exchange EGX 30 Price
MOSENEW Index	MASI Free Float All Shares Ind
TUSISE Index	Tunisia Stock Exchange TUNINDE
FTN098 Index	FTSE NSX Overall Index
BGSMDC Index	Botswana Gaborone Index
NGSEINDX Index	NGX All Share Index
